continent,country_clean,ISO_A,year,sector,age_group,education_level,lpr_m,lpr_f,lpr_gap
Africa,"South Africa",ZAF_A,2013,Other,"Youth (15-24)","Less than basic",NULL,NULL,NULL
Africa,"South Africa",ZAF_A,2013,Other,"Youth (15-24)",Basic,NULL,NULL,NULL
Africa,"South Africa",ZAF_A,2013,Other,"Youth (15-24)",Intermediate,NULL,NULL,NULL
Africa,"South Africa",ZAF_A,2013,Other,"Youth (15-24)",Advanced,NULL,NULL,NULL
Africa,"South Africa",ZAF_A,2013,Other,"Senior (55+)","Less than basic",NULL,NULL,NULL
Africa,"South Africa",ZAF_A,2013,Other,"Senior (55+)",Basic,NULL,NULL,NULL
Africa,"South Africa",ZAF_A,2013,Other,"Senior (55+)",Intermediate,NULL,NULL,NULL
Africa,"South Africa",ZAF_A,2013,Other,"Senior (55+)",Advanced,NULL,NULL,NULL
Africa,"South Africa",ZAF_A,2013,Other,"Senior (55+)","Not stated",34.01971428571428,20.47957142857143,13.54014285714285
Asia,"United Arab Emirates",ARE_A,2023,Other,"Child (<15)","Not stated",90.801,54.477,36.324000000000005
Asia,"United Arab Emirates",ARE_A,2023,Other,"Youth (15-24)","Not stated",58.90559999999999,28.7506,30.154999999999994
Asia,"United Arab Emirates",ARE_A,2022,Other,"Child (<15)","Not stated",89.451,55.315,34.135999999999996
Asia,"United Arab Emirates",ARE_A,2022,Other,"Youth (15-24)","Not stated",51.138999999999996,29.905800000000006,21.23319999999999
Asia,"United Arab Emirates",ARE_A,2021,Other,"Child (<15)","Not stated",90.276,52.567,37.708999999999996
Asia,"United Arab Emirates",ARE_A,2021,Other,"Youth (15-24)","Not stated",53.59839999999999,29.1792,24.41919999999999
Asia,"United Arab Emirates",ARE_A,2020,Other,"Child (<15)","Not stated",88.94,61.826,27.113999999999997
Asia,"United Arab Emirates",ARE_A,2020,Other,"Youth (15-24)","Not stated",47.1614,31.725800000000003,15.435599999999997
Asia,"United Arab Emirates",ARE_A,2019,Other,"Child (<15)","Not stated",92.055,57.623,34.43200000000001
Asia,"United Arab Emirates",ARE_A,2019,Other,"Youth (15-24)","Not stated",57.363,31.3464,26.0166
Asia,"United Arab Emirates",ARE_A,2018,Other,"Child (<15)","Not stated",93.081,52.753,40.328
Asia,"United Arab Emirates",ARE_A,2018,Other,"Youth (15-24)","Not stated",60.898,34.9084,25.989600000000003
Asia,"United Arab Emirates",ARE_A,2017,Other,"Child (<15)","Not stated",92.698,52.824,39.873999999999995
Asia,"United Arab Emirates",ARE_A,2017,Other,"Youth (15-24)","Not stated",60.083000000000006,33.071,27.012000000000008
Asia,"United Arab Emirates",ARE_A,2016,Other,"Child (<15)","Not stated",93.22,51.21,42.01
Asia,"United Arab Emirates",ARE_A,2023,Other,"Child (<15)","Less than basic",NULL,NULL,NULL
Asia,"United Arab Emirates",ARE_A,2023,Other,"Child (<15)",Basic,NULL,NULL,NULL
